phase,category,lock_type,locked_at,scorekeeper_locked
Finals,Junior,,2026-07-17 19:54:59.208444+00,true
Finals,Senior,,2026-07-18 22:34:47.823683+00,true
Qualifiers,Junior,,2026-07-17 19:54:51.503621+00,true
Qualifiers,Senior,,2026-08-24 16:28:11.056811+00,true
Quarterfinals,Junior,,2026-07-17 19:54:57.046044+00,true
Quarterfinals,Senior,,2026-08-24 16:29:06.311817+00,true
Semifinals,Junior,,2026-07-17 19:54:58.157572+00,true
Semifinals,Senior,,2026-07-18 22:34:42.955012+00,true
Third Place,Junior,,2026-07-17 19:55:00.594494+00,true
Third Place,Senior,,2026-07-18 22:34:46.56212+00,true
