country,school,team_name,category
India,Playto Labs,Heyansh,Junior
India,Sant Atulanand Convent School,The Ambitious Avengers,Senior
South Africa,Mashupye Tladi Primary School,Robo-Kidz,Junior
South Africa,Bokamoso Senior Secondary School,Roborise,Senior
Niger,EE-Tech Academy,Ee-Tech Academy,Junior
Niger,NOVATECH,Darka,Senior
Burkina Faso,IBSA,Ibsa,Junior
Burkina Faso,PROGRAMMING SCHOOL,Open_mind,Senior
Democratic Republic of Congo,ACADEMY OF SCIENCE AND TECHNOLOGY,Kijaninova,Senior
Ethiopia,Trillium International School,Wps (World Problem Solvers),Junior
Ethiopia,Andinet International School,Andinet International School Steam Club,Senior
The Gambia,SkyLab,Skylab Robotics,Junior
The Gambia,Nusrat Senior Secondary School,Nusrat Robotics Team,Senior
Bosnia and Herzogovina,Mali programer,Mali Programer,Senior
Guinea,MINA BIILIGUA ACADEMY,Minabot,Junior
Guinea,Ouskei Academy,Sirabot,Senior
Mexico,ESCUELA SECUNDARIA TECNICA 1 ÁLVARO OBREGÓN,Deerbot,Junior
Mexico,Dojo Robot,Chabots Destroy,Senior
Lesotho,Robo Strikers,Robo Strikers,Junior
Lesotho,Soofia International School,Soofia Robotronics,Senior
Mali,Independent,Samdech Hun Robotic,Senior
Mali,Complexe Scolaire Samdech Hun Sen,Individual Robotic Team,Junior
Senegal,CEM Liberté 6,L’escouade Ndam,Junior
Senegal,Diourbel Scientific High School of Excellence,Neo Genesis,Senior
South Sudan,South Sudan Robotics Association/University of Juba STEM and Vocational center,South Sudan Robotics Team,Junior
South Sudan,South Sudan Robotics Association/University of Juba STEM and Vocational center,South Sudan Robotics Team,Senior
Togo,Cs Belali Stars School,Star Force,Senior
Uganda,Peak Primary School,Peak Schools Ntinda,Junior
Uganda,King's College Budo,Kcb Pirates,Senior
Sierra Leone,St. Joseph’s Secondary School,Leonebot,Junior
Sierra Leone,Kamara Yokie Innovation Center,St. Edwards,Senior
Zambia,David Kaunda National STEM Secondary School.,David Kaunda Nsss,Junior
Zambia,David Kaunda National S.T.E.M Secondary School,Plastal-Bot Builders,Senior
Nepal,"United School, Kathmandu Pragya",Everest Tech Thunder,Junior
Nepal,"United School, KMC School and Aroma College",Gorkhali Tech Warriors,Senior
Australia,Australian AI Olympiad/ AIML/ Leading Coding,Sa Junior Team,Junior
Australia,Australian AI Olympiad/ AIML/ Leading Coding,Sa Senior Team,Senior
China,Ruiyu Tech,Doudou Exploration Team,Junior
China,Ruiyu Tech,Speed (驰骋),Senior
Cote d'Ivoire,YADAC ROBOTICS,Mgis,Junior
Cote d'Ivoire,YADAC ROBOTICS,Tech Titan,Senior
Ghana,B-weh Schools,B-Weh Trailblazers,Junior
Ghana,Right To Dream,Klone,Senior
Hungary,Xyz,Abc,Senior
Kazakhstan,"Municipal State Enterprise with the Right of Economic Management ""Bolashaq Saraiy"" under the Department of Education of Akmola Region",Gigabyte,Senior
Kenya,Bolder Learner Tech School,Cyb3r H@ck3rs,Junior
Kenya,ST LUKES BOYS HIGH SCHOOL KIMILILI,Saint Raptors,Senior
Lithuania,KTU Engineering Lyceum in Kaunas city,Nendo Lb,Junior
Lithuania,Riešės gimnazija,Rg Team,Senior
Nigeria,"GOVERNMENT SECONDARY SCHOOL, GWARINPA",Bright Stars,Junior
Nigeria,Government science Technical college Area 3 Garki Abuja,Spark,Senior
Romania,Liceul UMFST „George Emil Palade”,Umfstech,Senior
Romania,Inventika Place,Inventika 3 Ways Of Svr,Junior
South Korea,Woosung High School,Son,Senior
Spain,IES Damia Campeny,Control Boys,Junior
Spain,Escola Pia Granollers,Jangla,Senior
Switzerland,ASSOCIAZIONE FAB LAB KIDS SUISSE,Electronics,Senior
Switzerland,ASSOCIAZIONE FABLAB KIDS SUISSE,Easy Win,Junior
Venezuela,Colegio Santo Tomás de Aquino,Bug Algorithm,Junior
Venezuela,Colegio Guayamurí,The Spartans,Senior
Viet Nam,KID ENGINEER,Mission Possible,Junior
Viet Nam,THPT Chuyên Huỳnh Mẫn Đạt,Hmd,Senior
Zimbabwe,Westridge Primary School Team B,Robowolves,Junior
Zimbabwe,TME Education,Upskill Academy Robotics Club,Senior
Bahamas,Windsor School,Windsor Wolves,Junior
Denmark,Aalborg University,Raspberry Vikings,Junior
Bolivia,Monte Ararat School,J-Bots,Junior
Colombia,Travelers of the blue forest Fundación STEM Sin Fronteras,Travelers Of The Blue Forest,Senior
El Salvador,STEAM Robotics Academy,Green Force,Senior
