country,school,team_name,category
India,Playto Labs,Heyansh,Junior
India,Sant Atulanand Convent School,The Ambitious Avengers,Senior
South Africa,Mashupye Tladi Primary School,Robo-Kidz,Junior
South Africa,Bokamoso Senior Secondary School,Roborise,Senior
Niger,EE-Tech Academy,EE-Tech Academy,Junior
Niger,NOVATECH,DARKA,Senior
Burkina Faso,IBSA,IBSA,Junior
Burkina Faso,PROGRAMMING SCHOOL,OPEN_MIND,Senior
Democratic Republic of Congo,ACADEMY OF SCIENCE AND TECHNOLOGY,KijaniNova,Senior
Ethiopia,Trillium International School,WPS (World Problem Solvers),Junior
Ethiopia,Andinet International School,Andinet International School Steam Club,Senior
The Gambia,SkyLab,SkyLab Robotics,Junior
The Gambia,Nusrat Senior Secondary School,Nusrat Robotics Team,Senior
Bosnia and Herzogovina,Mali programer,Mali programer,Senior
Guinea,MINA BIILIGUA ACADEMY,MinaBot,Junior
Guinea,Ouskei Academy,SIRABOT,Senior
Mexico,ESCUELA SECUNDARIA TECNICA 1 ÁLVARO OBREGÓN,DEERBOT,Junior
Mexico,Dojo Robot,chaBots Destroy,Senior
Lesotho,Robo Strikers,Robo Strikers,Junior
Lesotho,Soofia International School,Soofia robotronics,Senior
Mali,Independent,samdech hun robotic,Senior
Mali,Complexe Scolaire Samdech Hun Sen,individual robotic team,Junior
Senegal,CEM Liberté 6,L’escouade Ndam,Junior
Senegal,Diourbel Scientific High School of Excellence,Neo Genesis,Senior
South Sudan,South Sudan Robotics Association/University of Juba STEM and Vocational center,South Sudan Robotics Team,Junior
South Sudan,South Sudan Robotics Association/University of Juba STEM and Vocational center,South Sudan Robotics Team,Senior
Togo,Cs Belali Stars School,Star Force,Senior
Uganda,Peak Primary School,Peak Schools Ntinda,Junior
Uganda,King's College Budo,KCB Pirates,Senior
Sierra Leone,St. Joseph’s Secondary School,LeoneBot,Junior
Sierra Leone,Kamara Yokie Innovation Center,St. Edwards,Senior
Zambia,David Kaunda National STEM Secondary School.,DAVID KAUNDA NSSS,Junior
Zambia,David Kaunda National S.T.E.M Secondary School,Plastal-Bot Builders,Senior
Nepal,"United School, Kathmandu Pragya",Everest Tech Thunder,Junior
Nepal,"United School, KMC School and Aroma College",Gorkhali Tech Warriors,Senior
Australia,Australian AI Olympiad/ AIML/ Leading Coding,SA Junior Team,Junior
Australia,Australian AI Olympiad/ AIML/ Leading Coding,SA Senior Team,Senior
China,Ruiyu Tech,Doudou Exploration Team,Junior
China,Ruiyu Tech,Speed (驰骋),Senior
Cote d'Ivoire,YADAC ROBOTICS,MGIS,Junior
Cote d'Ivoire,YADAC ROBOTICS,Tech Titan,Senior
Ghana,B-weh Schools,B-weh Trailblazers,Junior
Ghana,Right To Dream,Klone,Senior
Hungary,Xyz,Abc,Senior
Kazakhstan,"Municipal State Enterprise with the Right of Economic Management ""Bolashaq Saraiy"" under the Department of Education of Akmola Region",GIGABYTE,Senior
Kenya,Bolder Learner Tech School,CYB3R h@CK3RS,Junior
Kenya,ST LUKES BOYS HIGH SCHOOL KIMILILI,SAINT RAPTORS,Senior
Lithuania,KTU Engineering Lyceum in Kaunas city,NENDO LB,Junior
Lithuania,Riešės gimnazija,RG team,Senior
Nigeria,"GOVERNMENT SECONDARY SCHOOL, GWARINPA",Bright Stars,Junior
Nigeria,Government science Technical college Area 3 Garki Abuja,Spark,Senior
Romania,Liceul UMFST „George Emil Palade”,UmfsTech,Senior
Romania,Inventika Place,Inventika 3 Ways of SVR,Junior
South Korea,Woosung High School,SON,Senior
Spain,IES Damia Campeny,Control Boys,Junior
Spain,Escola Pia Granollers,Jangla,Senior
Switzerland,ASSOCIAZIONE FAB LAB KIDS SUISSE,ELECTRONICS,Senior
Switzerland,ASSOCIAZIONE FABLAB KIDS SUISSE,EASY WIN,Junior
Venezuela,Colegio Santo Tomás de Aquino,Bug Algorithm,Junior
Venezuela,Colegio Guayamurí,The Spartans,Senior
Viet Nam,KID ENGINEER,MISSION POSSIBLE,Junior
Viet Nam,THPT Chuyên Huỳnh Mẫn Đạt,HMD,Senior
Zimbabwe,Westridge Primary School Team B,RoboWolves,Junior
Zimbabwe,TME Education,Upskill Academy Robotics Club,Senior
Bahamas,Windsor School,Windsor Wolves,Junior
Denmark,Aalborg University,Raspberry Vikings,Junior
Bolivia,Monte Ararat School,J-BOTS,Junior
Colombia,Travelers of the blue forest Fundación STEM Sin Fronteras,Travelers of the Blue Forest,Senior
El Salvador,STEAM Robotics Academy,Green Force,Senior
